0--	M, 140283989721088, 64
1008--	M, 140283989745648, 67
1009--	F, 140283989741664
1010--	F, 140283989789792
1011--	M, 140283989743664, 149
1012--	M, 140283989755744, 140
1013--	F, 140283989751936
1014--	M, 140283989725072, 495
1015--	M, 140283989780144, 368
1016--	M, 140283989770416, 297
1017--	F, 140283989722848
1018--	M, 140283989751936, 181
1019--	M, 140283989789792, 454
1020--	F, 140283989731328
1021--	M, 140283989726544, 446
1022--	M, 140283989741648, 131
1023--	M, 140283989728384, 195
1024--	F, 140283989733200
1025--	M, 140283989775728, 76
1026--	M, 140283989722848, 224
1027--	M, 140283989726992, 236
1028--	F, 140283989727280
1029--	F, 140283989755744
1030--	F, 140283989769408
1031--	F, 140283989739888
1032--	F, 140283989755984
1033--	M, 140283989744800, 403
1034--	M, 140283989778160, 490
1035--	M, 140283989754720, 476
1036--	F, 140283989762736
1037--	F, 140283989763136
1038--	F, 140283989771216
1039--	F, 140283989732064
1040--	F, 140283989734800
1041--	M, 140283989755744, 171
1042--	F, 140283989721584
1043--	M, 140283989734752, 241
1044--	F, 140283989753184
1045--	M, 140283989763136, 336
1046--	F, 140283989730832
1047--	M, 140283989755984, 361
1048--	F, 140283989737152
1049--	M, 140283989732048, 490
1050--	F, 140283989798000
1051--	M, 140283989763472, 54
1052--	F, 140283989767776
1053--	F, 140283989735952
1054--	M, 140283989767776, 112
1055--	M, 140283989798000, 417
1056--	M, 140283989721584, 143
1057--	M, 140283989799872, 484
1058--	F, 140283989739760
1059--	M, 140283989731216, 132
1060--	M, 140283989727232, 156
1061--	M, 140283989769408, 370
1062--	F, 140283989753872
1063--	M, 140283989741792, 106
1064--	F, 140283989761952
1065--	M, 140283989771216, 223
1066--	M, 140283989739760, 327
1067--	F, 140283989776288
1068--	M, 140283989776288, 237
1069--	M, 140283989730832, 249
1070--	M, 140283989778656, 233
1071--	F, 140283989797344
1072--	F, 140283989774880
1073--	M, 140283989753872, 402
1074--	F, 140283989762256
1075--	F, 140283989740176
1076--	F, 140283989743424
1077--	M, 140283989735952, 268
1078--	F, 140283989757072
1079--	F, 140283989750128
1080--	F, 140283989784480
1081--	M, 140283989740096, 327
1082--	M, 140283989797232, 477
1083--	F, 140283989777712
1084--	F, 140283989758560
1085--	M, 140283989784480, 389
1086--	F, 140283989722048
1087--	F, 140283989784912
1088--	M, 140283989727552, 105
1089--	M, 140283989755200, 235
1090--	F, 140283989797728
1091--	M, 140283989722048, 334
1092--	M, 140283989761952, 161
1093--	M, 140283989797712, 269
1094--	F, 140283989727664
1095--	F, 140283989787488
1096--	F, 140283989770144
1097--	F, 140283989751936
1098--	M, 140283989751936, 181
1099--	F, 140283989795056
1100--	M, 140283989784880, 312
1101--	M, 140283989774864, 138
1102--	F, 140283989755744
1103--	M, 140283989733136, 183
1104--	F, 140283989736688
1105--	M, 140283989722384, 94
1106--	M, 140283989787472, 475
1107--	M, 140283989737152, 121
1108--	M, 140283989770112, 287
1109--	F, 140283989781776
1110--	F, 140283989783632
1111--	M, 140283989757072, 180
1112--	M, 140283989783632, 415
1113--	F, 140283989754352
1114--	M, 140283989795056, 440
1115--	M, 140283989777648, 464
1116--	F, 140283989747056
1117--	F, 140283989751536
1118--	M, 140283989781776, 268
1119--	M, 140283989750128, 183
1120--	M, 140283989762256, 492
1121--	F, 140283989781776
1122--	F, 140283989759968
1123--	M, 140283989753184, 301
1124--	M, 140283989758560, 136
1125--	M, 140283989754288, 412
1126--	M, 140283989751488, 431
1127--	F, 140283989775008
1128--	M, 140283989759968, 492
1129--	F, 140283989757456
1130--	M, 140283989747056, 345
1131--	F, 140283989759600
1132--	M, 140283989757456, 482
1133--	F, 140283989745744
1134--	F, 140283989763536
1135--	F, 140283989787008
1136--	F, 140283989766704
1137--	F, 140283989737008
1138--	M, 140283989800368, 485
1139--	M, 140283989800864, 488
1140--	M, 140283989737008, 131
1141--	M, 140283989762752, 100
1142--	M, 140283989745728, 191
1143--	M, 140283989736624, 379
1144--	M, 140283989781776, 239
1145--	F, 140283989763904
1146--	F, 140283989743488
1147--	F, 140283989747424
1148--	M, 140283989740432, 69
1149--	F, 140283989728384
1150--	F, 140283989778160
1151--	F, 140283989729552
1152--	F, 140283989726272
1153--	M, 140283989745920, 80
1154--	F, 140283989796016
1155--	M, 140283989727664, 345
1156--	M, 140283989766704, 452
1157--	F, 140283989734752
1158--	M, 140283989734752, 250
1159--	M, 140283989759568, 285
1160--	M, 140283989775008, 423
1161--	F, 140283989747872
1162--	M, 140283989729552, 159
1163--	F, 140283989753760
1164--	M, 140283989778112, 492
1165--	F, 140283989771696
1166--	F, 140283989730432
1167--	F, 140283989773504
1168--	F, 140283989762144
1169--	M, 140283989726272, 259
1170--	M, 140283989755440, 53
1171--	F, 140283989738576
1172--	F, 140283989794096
1173--	M, 140283989738560, 368
1174--	F, 140283989782400
1175--	F, 140283989732544
1176--	M, 140283989782400, 320
1177--	F, 140283989729712
1178--	M, 140283989771664, 352
1179--	M, 140283989747408, 155
1180--	F, 140283989733632
1181--	F, 140283989726992
1182--	F, 140283989733536
1183--	M, 140283989728384, 256
1184--	M, 140283989752128, 64
1185--	F, 140283989774128
1186--	F, 140283989775808
1187--	M, 140283989801360, 491
1188--	M, 140283989801856, 493
1189--	F, 140283989778112
1190--	F, 140283989735104
1191--	F, 140283989727552
1192--	F, 140283989762256
1193--	F, 140283989740608
1194--	M, 140283989726992, 181
1195--	F, 140283989759888
1196--	F, 140283989749824
1197--	M, 140283989763536, 57
1198--	M, 140283989782720, 121
1199--	F, 140283989761520
1200--	M, 140283989740608, 187
1201--	M, 140283989787008, 382
1202--	M, 140283989787392, 61
1203--	M, 140283989773488, 218
1204--	F, 140283989734752
1205--	M, 140283989729712, 312
1206--	F, 140283989738352
1207--	M, 140283989755744, 147
1208--	M, 140283989749824, 289
1209--	M, 140283989761520, 309
1210--	M, 140283989775808, 468
1211--	M, 140283989743424, 153
1212--	F, 140283989755200
1213--	M, 140283989738352, 172
1214--	F, 140283989790256
1215--	M, 140283989774128, 438
1216--	F, 140283989747056
1217--	F, 140283989743424
1218--	M, 140283989747056, 268
1219--	M, 140283989790256, 380
1220--	M, 140283989747872, 364
1221--	M, 140283989755200, 164
1222--	F, 140283989729088
1223--	M, 140283989730432, 137
1224--	M, 140283989748240, 86
1225--	F, 140283989798944
1226--	M, 140283989759856, 110
1227--	M, 140283989796016, 474
1228--	F, 140283989757072
1229--	F, 140283989773728
1230--	M, 140283989773712, 292
1231--	M, 140283989798944, 460
1232--	M, 140283989763904, 421
1233--	F, 140283989745728
1234--	F, 140283989750528
1235--	M, 140283989734752, 244
1236--	F, 140283989752720
1237--	M, 140283989735104, 376
1238--	M, 140283989757072, 129
1239--	F, 140283989733136
1240--	M, 140283989774016, 92
1241--	M, 140283989750528, 472
1242--	F, 140283989740432
1243--	F, 140283989731152
1244--	M, 140283989733136, 182
1245--	M, 140283989778112, 413
1246--	F, 140283989753872
1247--	F, 140283989739456
1248--	M, 140283989729072, 208
1249--	F, 140283989741904
1250--	F, 140283989768464
1251--	M, 140283989727552, 107
1252--	M, 140283989778528, 120
1253--	M, 140283989741904, 369
1254--	M, 140283989745728, 132
1255--	F, 140283989755200
1256--	F, 140283989729552
1257--	M, 140283989740432, 74
1258--	M, 140283989752720, 307
1259--	M, 140283989739456, 242
1260--	F, 140283989763904
1261--	M, 140283989763904, 360
1262--	F, 140283989767280
1263--	M, 140283989768464, 389
1264--	M, 140283989729504, 207
1265--	F, 140283989758560
1266--	F, 140283989788432
1267--	F, 140283989730576
1268--	M, 140283989753760, 492
1269--	F, 140283989782400
1270--	F, 140283989778112
1271--	F, 140283989775728
1272--	F, 140283989769888
1273--	F, 140283989752288
1274--	F, 140283989781520
1275--	F, 140283989741200
1276--	F, 140283989745728
1277--	F, 140283989796016
1278--	F, 140283989772768
1279--	M, 140283989731152, 64
1280--	M, 140283989778112, 414
1281--	F, 140283989799408
1282--	F, 140283989739456
1283--	F, 140283989735776
1284--	M, 140283989781520, 249
1285--	M, 140283989730576, 246
1286--	F, 140283989734752
1287--	F, 140283989796496
1288--	F, 140283989721584
1289--	F, 140283989776288
1290--	F, 140283989763136
1291--	F, 140283989770736
1292--	M, 140283989782400, 320
1293--	F, 140283989728640
1294--	F, 140283989725072
1295--	M, 140283989752272, 434
1296--	M, 140283989721584, 133
1297--	M, 140283989770720, 465
1298--	M, 140283989788432, 362
1299--	F, 140283989782848
1300--	F, 140283989801856
1301--	F, 140283989750128
1302--	F, 140283989771216
1303--	M, 140283989763136, 327
1304--	F, 140283989792992
1305--	F, 140283989791008
1306--	F, 140283989774864
1307--	M, 140283989767280, 126
1308--	M, 140283989799408, 403
1309--	F, 140283989785824
1310--	M, 140283989791008, 390
1311--	F, 140283989736624
1312--	F, 140283989729504
1313--	M, 140283989775728, 73
1314--	F, 140283989769408
1315--	F, 140283989771664
1316--	F, 140283989726992
1317--	M, 140283989771200, 241
1318--	M, 140283989768864, 98
1319--	F, 140283989749024
1320--	F, 140283989725584
1321--	F, 140283989766304
1322--	M, 140283989751008, 60
1323--	M, 140283989735488, 115
1324--	M, 140283989792992, 329
1325--	M, 140283989736624, 343
1326--	F, 140283989724208
1327--	M, 140283989782848, 284
1328--	M, 140283989764272, 106
1329--	M, 140283989771664, 427
1330--	M, 140283989801856, 480
1331--	M, 140283989728640, 281
1332--	F, 140283989768016
1333--	F, 140283989792496
1334--	F, 140283989771456
1335--	F, 140283989759968
1336--	M, 140283989732544, 98
1337--	F, 140283989771200
1338--	F, 140283989778656
1339--	F, 140283989784480
1340--	F, 140283989777648
1341--	F, 140283989722384
1342--	F, 140283989753184
1343--	M, 140283989739456, 277
1344--	F, 140283989763536
1345--	F, 140283989752128
1346--	M, 140283989745728, 187
1347--	M, 140283989758560, 148
1348--	F, 140283989774608
1349--	M, 140283989753184, 281
1350--	F, 140283989724608
1351--	F, 140283989758720
1352--	M, 140283989785824, 305
1353--	F, 140283989727424
1354--	F, 140283989731088
1355--	F, 140283989732544
1356--	F, 140283989780144
1357--	F, 140283989764384
1358--	F, 140283989753504
1359--	F, 140283989767168
1360--	F, 140283989772128
1361--	M, 140283989764384, 478
1362--	M, 140283989772128, 231
1363--	F, 140283989735488
1364--	F, 140283989782720
1365--	M, 140283989767168, 108
1366--	F, 140283989745648
1367--	F, 140283989753184
1368--	M, 140283989774576, 423
1369--	M, 140283989792496, 478
1370--	M, 140283989750128, 213
1371--	M, 140283989763536, 95
1372--	F, 140283989746448
1373--	F, 140283989723120
1374--	M, 140283989723072, 336
1375--	M, 140283989780144, 358
1376--	F, 140283989793776
1377--	M, 140283989793776, 364
1378--	F, 140283989740608
1379--	M, 140283989784480, 346
1380--	F, 140283989723568
1381--	M, 140283989766304, 387
1382--	F, 140283989798000
1383--	M, 140283989778656, 253
1384--	M, 140283989782720, 118
1385--	M, 140283989759968, 477
1386--	F, 140283989758176
1387--	M, 140283989746448, 84
1388--	M, 140283989758160, 348
1389--	M, 140283989769408, 354
1390--	M, 140283989769888, 210
1391--	M, 140283989723568, 294
1392--	F, 140283989755984
1393--	F, 140283989797232
1394--	F, 140283989772128
1395--	M, 140283989758720, 258
1396--	F, 140283989791504
1397--	M, 140283989727392, 156
1398--	M, 140283989745648, 68
1399--	M, 140283989755984, 326
1400--	M, 140283989768016, 300
1401--	F, 140283989738560
1402--	F, 140283989742576
1403--	M, 140283989735776, 169
1404--	F, 140283989789792
1405--	M, 140283989741200, 93
1406--	F, 140283989740432
1407--	M, 140283989734752, 246
1408--	F, 140283989746544
1409--	M, 140283989740432, 78
1410--	F, 140283989775808
1411--	F, 140283989768464
1412--	F, 140283989794176
1413--	F, 140283989726272
1414--	F, 140283989731760
1415--	F, 140283989774576
1416--	F, 140283989734544
1417--	M, 140283989774576, 401
1418--	M, 140283989738528, 391
1419--	F, 140283989781184
1420--	F, 140283989730048
1421--	M, 140283989730032, 364
1422--	F, 140283989730576
1423--	M, 140283989794144, 434
1424--	F, 140283989730832
1425--	F, 140283989747584
1426--	M, 140283989789792, 380
1427--	M, 140283989781184, 326
1428--	F, 140283989738528
1429--	M, 140283989729504, 178
1430--	F, 140283989741200
1431--	F, 140283989792016
1432--	M, 140283989797984, 453
1433--	F, 140283989722848
1434--	M, 140283989738528, 379
1435--	F, 140283989757072
1436--	F, 140283989759008
1437--	M, 140283989797232, 479
1438--	F, 140283989790256
1439--	M, 140283989777648, 428
1440--	F, 140283989770720
1441--	M, 140283989726272, 266
1442--	F, 140283989780736
1443--	M, 140283989726992, 229
1444--	M, 140283989780736, 411
1445--	M, 140283989758992, 311
1446--	F, 140283989773488
1447--	M, 140283989747328, 77
1448--	F, 140283989780144
1449--	F, 140283989758560
1450--	M, 140283989757072, 199
1451--	F, 140283989725872
1452--	F, 140283989761520
1453--	F, 140283989778912
1454--	F, 140283989795056
1455--	M, 140283989747568, 291
1456--	M, 140283989758512, 173
1457--	F, 140283989729712
1458--	M, 140283989729696, 327
1459--	M, 140283989741200, 75
1460--	M, 140283989761520, 308
1461--	M, 140283989780144, 400
1462--	F, 140283989755440
1463--	M, 140283989795056, 488
1464--	F, 140283989740512
1465--	M, 140283989790176, 326
1466--	M, 140283989742576, 158
1467--	F, 140283989745232
1468--	M, 140283989772768, 225
1469--	F, 140283989745648
1470--	M, 140283989745216, 401
1471--	M, 140283989778912, 340
1472--	F, 140283989746448
1473--	F, 140283989796960
1474--	M, 140283989746544, 389
1475--	M, 140283989735488, 124
1476--	F, 140283989764864
1477--	M, 140283989764864, 373
1478--	F, 140283989759568
1479--	M, 140283989749024, 366
1480--	F, 140283989735616
1481--	F, 140283989757280
1482--	F, 140283989767408
1483--	F, 140283989782720
1484--	M, 140283989768320, 371
1485--	F, 140283989755920
1486--	F, 140283989737152
1487--	M, 140283989730576, 441
1488--	F, 140283989770416
1489--	M, 140283989740512, 311
1490--	M, 140283989737152, 115
1491--	M, 140283989768704, 150
1492--	F, 140283989752272
1493--	F, 140283989761328
1494--	M, 140283989752272, 394
1495--	M, 140283989767408, 309
1496--	F, 140283989769408
1497--	M, 140283989731024, 115
1498--	F, 140283989757952
1499--	M, 140283989765248, 59
1500--	M, 140283989735616, 148
1501--	M, 140283989757952, 201
1502--	F, 140283989729504
1503--	M, 140283989753184, 429
1504--	F, 140283989760912
1505--	F, 140283989789296
1506--	M, 140283989757280, 163
1507--	M, 140283989755904, 73
1508--	M, 140283989789296, 492
1509--	M, 140283989769408, 329
1510--	F, 140283989775008
1511--	F, 140283989735616
1512--	M, 140283989782720, 119
1513--	F, 140283989740832
1514--	F, 140283989781520
1515--	F, 140283989736432
1516--	F, 140283989801360
1517--	F, 140283989760480
1518--	F, 140283989742304
1519--	F, 140283989731024
1520--	F, 140283989761952
1521--	M, 140283989746448, 80
1522--	F, 140283989742496
1523--	M, 140283989755200, 291
1524--	M, 140283989736400, 219
1525--	M, 140283989746944, 101
1526--	F, 140283989749824
1527--	M, 140283989740832, 322
1528--	M, 140283989753616, 139
1529--	F, 140283989792992
1530--	F, 140283989739328
1531--	F, 140283989768016
1532--	M, 140283989732544, 106
1533--	M, 140283989742288, 288
1534--	F, 140283989740832
1535--	M, 140283989801360, 483
1536--	M, 140283989729504, 182
1537--	M, 140283989733520, 466
1538--	M, 140283989772096, 272
1539--	F, 140283989729504
1540--	M, 140283989734000, 89
1541--	M, 140283989792976, 336
1542--	F, 140283989751328
1543--	M, 140283989724208, 465
1544--	M, 140283989775808, 486
1545--	F, 140283989738928
1546--	M, 140283989774992, 415
1547--	M, 140283989745632, 88
1548--	F, 140283989728944
1549--	M, 140283989722384, 104
1550--	M, 140283989740832, 349
1551--	M, 140283989738912, 317
1552--	F, 140283989775440
1553--	M, 140283989759568, 280
1554--	M, 140283989739232, 211
1555--	M, 140283989728944, 116
1556--	F, 140283989745920
1557--	M, 140283989775408, 315
1558--	M, 140283989745920, 66
1559--	M, 140283989769744, 64
1560--	M, 140283989751328, 158
1561--	M, 140283989761952, 480
1562--	F, 140283989726272
1563--	F, 140283989726992
1564--	M, 140283989725072, 379
1565--	F, 140283989758160
1566--	F, 140283989753760
1567--	F, 140283989741792
1568--	M, 140283989753760, 375
1569--	F, 140283989731152
1570--	M, 140283989725456, 424
1571--	F, 140283989750128
1572--	F, 140283989798944
1573--	F, 140283989759968
1574--	M, 140283989798944, 435
1575--	F, 140283989768704
1576--	M, 140283989749824, 438
1577--	F, 140283989752192
1578--	M, 140283989759968, 447
1579--	F, 140283989732048
1580--	F, 140283989739232
1581--	M, 140283989731760, 353
1582--	F, 140283989783152
1583--	F, 140283989733136
1584--	M, 140283989783136, 490
1585--	M, 140283989760416, 474
1586--	F, 140283989744800
1587--	F, 140283989799872
1588--	F, 140283989763136
1589--	F, 140283989775408
1590--	M, 140283989763136, 328
1591--	M, 140283989752128, 121
1592--	M, 140283989741792, 81
1593--	M, 140283989768016, 294
1594--	M, 140283989758160, 350
1595--	F, 140283989723072
1596--	M, 140283989754144, 91
1597--	F, 140283989732736
1598--	F, 140283989756656
1599--	F, 140283989766704
1600--	M, 140283989766704, 464
1601--	M, 140283989768704, 159
1602--	M, 140283989799824, 466
1603--	M, 140283989734544, 207
1604--	F, 140283989722384
1605--	F, 140283989772096
1606--	M, 140283989726992, 226
1607--	M, 140283989743424, 226
1608--	F, 140283989742288
1609--	F, 140283989744432
1610--	M, 140283989739232, 195
1611--	F, 140283989754720
1612--	F, 140283989788832
1613--	M, 140283989788800, 434
1614--	M, 140283989781520, 250
1615--	M, 140283989756656, 170
1616--	M, 140283989776304, 216
1617--	F, 140283989764864
1618--	M, 140283989775408, 311
1619--	F, 140283989738528
1620--	M, 140283989754704, 458
1621--	M, 140283989722384, 86
1622--	F, 140283989724864
1623--	F, 140283989795056
1624--	F, 140283989742736
1625--	M, 140283989742736, 250
1626--	F, 140283989763632
1627--	M, 140283989744800, 404
1628--	F, 140283989765248
1629--	M, 140283989744432, 82
1630--	M, 140283989724688, 369
1631--	F, 140283989750352
1632--	M, 140283989735616, 149
1633--	M, 140283989762432, 305
1634--	M, 140283989763632, 248
1635--	M, 140283989795056, 462
1636--	M, 140283989773488, 196
1637--	F, 140283989792496
1638--	F, 140283989778656
1639--	F, 140283989723888
1640--	M, 140283989732128, 391
1641--	F, 140283989745920
1642--	F, 140283989797984
1643--	M, 140283989732736, 469
1644--	F, 140283989767168
1645--	M, 140283989723872, 321
1646--	F, 140283989799824
1647--	F, 140283989743424
1648--	M, 140283989749392, 121
1649--	F, 140283989788432
1650--	M, 140283989764864, 403
1651--	F, 140283989785200
1652--	M, 140283989743424, 214
1653--	F, 140283989735104
1654--	M, 140283989785200, 104
1655--	M, 140283989788432, 322
1656--	F, 140283989768976
1657--	F, 140283989788800
1658--	F, 140283989747328
1659--	F, 140283989759568
1660--	F, 140283989761952
1661--	F, 140283989791008
1662--	F, 140283989745632
1663--	M, 140283989797984, 459
1664--	M, 140283989750272, 233
1665--	M, 140283989778656, 211
1666--	M, 140283989747328, 66
1667--	M, 140283989756320, 52
1668--	F, 140283989734544
1669--	F, 140283989764864
1670--	M, 140283989768976, 424
1671--	M, 140283989772096, 240
1672--	M, 140283989745632, 88
1673--	M, 140283989764864, 404
1674--	F, 140283989778528
1675--	M, 140283989731024, 186
1676--	M, 140283989761952, 456
1677--	M, 140283989786144, 54
1678--	F, 140283989752272
1679--	M, 140283989726272, 247
1680--	F, 140283989738912
1681--	M, 140283989735104, 341
1682--	M, 140283989752256, 421
1683--	F, 140283989755904
1684--	F, 140283989724688
1685--	M, 140283989788768, 421
1686--	F, 140283989741792
1687--	F, 140283989758512
1688--	F, 140283989731392
1689--	F, 140283989762752
1690--	M, 140283989779264, 139
1691--	F, 140283989768976
1692--	F, 140283989730032
1693--	M, 140283989724688, 303
1694--	M, 140283989778528, 126
1695--	M, 140283989799824, 447
1696--	M, 140283989730032, 343
1697--	M, 140283989731360, 394
1698--	F, 140283989731360
1699--	M, 140283989759568, 257
1700--	F, 140283989765312
1701--	F, 140283989724208
1702--	M, 140283989742288, 239
1703--	M, 140283989725888, 183
1704--	F, 140283989785824
1705--	F, 140283989721584
1706--	M, 140283989729504, 187
1707--	F, 140283989771664
1708--	M, 140283989724208, 448
1709--	F, 140283989754704
1710--	M, 140283989762752, 101
1711--	M, 140283989785824, 310
1712--	F, 140283989751008
1713--	M, 140283989765280, 327
1714--	M, 140283989731360, 360
1715--	F, 140283989769808
1716--	F, 140283989749392
1717--	M, 140283989768976, 368
1718--	M, 140283989749392, 125
1719--	F, 140283989726080
1720--	F, 140283989798944
1721--	F, 140283989744576
1722--	M, 140283989798944, 280
1723--	F, 140283989736624
1724--	F, 140283989755744
1725--	M, 140283989754704, 455
1726--	F, 140283989775408
1727--	M, 140283989736624, 381
1728--	M, 140283989769808, 65
1729--	F, 140283989731024
1730--	M, 140283989722848, 387
1731--	M, 140283989741792, 101
1732--	F, 140283989736624
1733--	F, 140283989773072
1734--	M, 140283989744528, 242
1735--	M, 140283989767168, 105
1736--	F, 140283989743008
1737--	F, 140283989778528
1738--	F, 140283989744288
1739--	M, 140283989799232, 164
1740--	F, 140283989727664
1741--	M, 140283989775408, 320
1742--	M, 140283989758512, 200
1743--	M, 140283989755744, 227
1744--	M, 140283989760896, 486
1745--	F, 140283989732736
1746--	F, 140283989726544
1747--	F, 140283989743424
1748--	F, 140283989766304
1749--	M, 140283989736624, 304
1750--	M, 140283989732736, 469
1751--	F, 140283989786208
1752--	M, 140283989761392, 114
1753--	F, 140283989779792
1754--	F, 140283989749536
1755--	F, 140283989728640
1756--	F, 140283989765280
1757--	M, 140283989773072, 411
1758--	M, 140283989734544, 206
1759--	F, 140283989737280
1760--	M, 140283989728640, 205
1761--	M, 140283989738528, 467
1762--	F, 140283989772368
1763--	M, 140283989728848, 85
1764--	M, 140283989765280, 313
1765--	M, 140283989731024, 182
1766--	M, 140283989742992, 499
1767--	M, 140283989772368, 172
1768--	M, 140283989736928, 68
1769--	M, 140283989733216, 101
1770--	F, 140283989764864
1771--	F, 140283989748352
1772--	M, 140283989786208, 357
1773--	F, 140283989759568
1774--	F, 140283989776304
1775--	M, 140283989759568, 262
1776--	F, 140283989800864
1777--	F, 140283989741648
1778--	F, 140283989781520
1779--	M, 140283989781520, 246
1780--	F, 140283989766704
1781--	F, 140283989746544
1782--	F, 140283989740512
1783--	M, 140283989748336, 447
1784--	M, 140283989769344, 58
1785--	F, 140283989724688
1786--	F, 140283989741792
1787--	F, 140283989729504
1788--	F, 140283989756320
1789--	M, 140283989724656, 413
1790--	F, 140283989727392
1791--	F, 140283989751488
1792--	M, 140283989746528, 407
1793--	F, 140283989734000
1794--	M, 140283989749520, 269
1795--	F, 140283989733328
1796--	F, 140283989789792
1797--	F, 140283989735008
1798--	F, 140283989782064
1799--	F, 140283989754288
1800--	M, 140283989756320, 61
1801--	M, 140283989778528, 115
1802--	M, 140283989744288, 119
1803--	F, 140283989726992
1804--	F, 140283989744800
1805--	M, 140283989776304, 213
1806--	M, 140283989800864, 473
1807--	M, 140283989740512, 307
1808--	M, 140283989726992, 235
1809--	M, 140283989766304, 494
1810--	F, 140283989753760
1811--	F, 140283989749392
1812--	M, 140283989727392, 150
1813--	M, 140283989721584, 140
1814--	M, 140283989739008, 210
1815--	M, 140283989779792, 279
1816--	F, 140283989735488
1817--	F, 140283989779264
1818--	M, 140283989735456, 160
1819--	M, 140283989770400, 489
1820--	M, 140283989753760, 383
1821--	M, 140283989727664, 393
1822--	F, 140283989747056
1823--	M, 140283989735008, 87
1824--	F, 140283989731360
1825--	F, 140283989798944
1826--	M, 140283989733328, 171
1827--	M, 140283989729504, 166
1828--	F, 140283989762864
1829--	F, 140283989724208
1830--	F, 140283989735776
1831--	M, 140283989766800, 309
1832--	M, 140283989780080, 56
1833--	F, 140283989757456
1834--	M, 140283989743504, 158
1835--	F, 140283989756832
1836--	M, 140283989779264, 144
1837--	M, 140283989764864, 401
1838--	M, 140283989735776, 154
1839--	F, 140283989728944
1840--	F, 140283989795552
1841--	F, 140283989734544
1842--	F, 140283989754144
1843--	F, 140283989774576
1844--	M, 140283989754240, 452
1845--	F, 140283989785312
1846--	F, 140283989747328
1847--	M, 140283989790512, 134
1848--	M, 140283989728944, 100
1849--	F, 140283989778912
1850--	M, 140283989749392, 123
1851--	F, 140283989729504
1852--	F, 140283989748240
1853--	F, 140283989786208
1854--	F, 140283989761392
1855--	M, 140283989748240, 75
1856--	F, 140283989721584
1857--	M, 140283989754144, 95
1858--	M, 140283989729504, 178
1859--	M, 140283989731360, 399
1860--	F, 140283989752256
1861--	F, 140283989784480
1862--	F, 140283989768320
1863--	F, 140283989737008
1864--	M, 140283989752256, 457
1865--	F, 140283989757280
1866--	F, 140283989738352
1867--	F, 140283989770400
1868--	F, 140283989762752
1869--	M, 140283989724208, 440
1870--	M, 140283989747056, 329
1871--	M, 140283989738352, 165
1872--	M, 140283989768320, 338
1873--	M, 140283989751488, 448
1874--	F, 140283989758512
1875--	F, 140283989728064
1876--	M, 140283989744784, 432
1877--	F, 140283989728640
1878--	F, 140283989752128
1879--	F, 140283989740512
1880--	F, 140283989743504
1881--	F, 140283989746528
1882--	F, 140283989772544
1883--	M, 140283989740512, 313
1884--	F, 140283989767888
1885--	M, 140283989762752, 358
1886--	F, 140283989722048
1887--	M, 140283989752128, 103
1888--	F, 140283989766304
1889--	M, 140283989761392, 98
1890--	F, 140283989727392
1891--	F, 140283989749392
1892--	F, 140283989731760
1893--	M, 140283989723248, 192
1894--	F, 140283989735456
1895--	M, 140283989737280, 460
1896--	F, 140283989770112
1897--	M, 140283989749392, 107
1898--	F, 140283989785200
1899--	F, 140283989753184
1900--	F, 140283989757952
1901--	M, 140283989722048, 331
1902--	M, 140283989767888, 117
1903--	F, 140283989735776
1904--	M, 140283989737008, 128
1905--	M, 140283989734000, 85
1906--	M, 140283989721584, 104
1907--	F, 140283989736928
1908--	F, 140283989768016
1909--	M, 140283989728640, 200
1910--	M, 140283989735456, 118
1911--	M, 140283989784480, 395
1912--	F, 140283989740432
1913--	M, 140283989731760, 355
1914--	M, 140283989766304, 483
1915--	F, 140283989777328
1916--	F, 140283989730432
1917--	F, 140283989759968
1918--	F, 140283989763536
1919--	F, 140283989747568
1920--	F, 140283989764384
1921--	F, 140283989738528
1922--	F, 140283989745728
1923--	M, 140283989798944, 274
1924--	M, 140283989746528, 387
1925--	F, 140283989774992
1926--	M, 140283989741648, 253
1927--	M, 140283989786208, 382
1928--	F, 140283989768320
1929--	M, 140283989735776, 171
1930--	M, 140283989756832, 231
1931--	F, 140283989783136
1932--	M, 140283989747568, 287
1933--	F, 140283989741904
1934--	F, 140283989773008
1935--	F, 140283989799232
1936--	M, 140283989741904, 333
1937--	M, 140283989730384, 185
1938--	M, 140283989799232, 176
1939--	M, 140283989778880, 368
1940--	F, 140283989739760
1941--	F, 140283989799408
1942--	F, 140283989779792
1943--	F, 140283989775408
1944--	M, 140283989726080, 167
1945--	M, 140283989785200, 499
1946--	M, 140283989740432, 80
1947--	F, 140283989759856
1948--	M, 140283989777328, 310
1949--	M, 140283989779792, 268
1950--	F, 140283989762752
1951--	M, 140283989763536, 87
1952--	F, 140283989795056
1953--	M, 140283989738528, 473
1954--	M, 140283989783136, 485
1955--	M, 140283989745728, 235
1956--	M, 140283989727392, 129
1957--	F, 140283989750528
1958--	M, 140283989728064, 228
1959--	F, 140283989767168
1960--	F, 140283989794144
1961--	M, 140283989794144, 449
1962--	F, 140283989782720
1963--	M, 140283989739744, 346
1964--	M, 140283989762752, 239
1965--	F, 140283989738528
1966--	F, 140283989782848
1967--	F, 140283989754704
1968--	M, 140283989767120, 149
1969--	F, 140283989735008
1970--	M, 140283989758512, 175
1971--	M, 140283989785712, 111
1972--	M, 140283989738528, 467
